task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	78/d6c7f4	2753052	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:PARAMS_CHECK	COMPLETED	0	2025-05-12 16:42:43.993	33.8s	5.8s	93.4%	689.8 MB	3.9 GB	86.8 MB	5.1 KB
3	55/308e84	2753050	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:HPAM_SPLIT (NaiveMeanEffectsPredictor)	COMPLETED	0	2025-05-12 16:42:43.923	33.9s	6.7s	98.6%	672.8 MB	3.9 GB	86.7 MB	5.1 KB
2	2f/c4aa99	2753051	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:HPAM_SPLIT (SingleDrugProteomicsElasticNet)	COMPLETED	0	2025-05-12 16:42:43.959	33.9s	6.7s	99.0%	680.7 MB	3.9 GB	86.7 MB	5.7 KB
4	19/b63e74	2753053	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:LOAD_RESPONSE (mPDAC_cd (cross: ))	COMPLETED	0	2025-05-12 16:43:17.932	4.9s	1.5s	106.0%	40 MB	136 MB	32.9 MB	510.9 KB
5	02/55a5e4	2753054	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:CV_SPLIT (LPO)	COMPLETED	0	2025-05-12 16:43:23.046	4.8s	2s	97.7%	171.7 MB	405.2 MB	32.6 MB	6.3 MB
6	59/57343e	2753056	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:MAKE_BASELINES (Make model channel)	COMPLETED	0	2025-05-12 16:43:23.123	34.7s	5.2s	100.5%	669.9 MB	3.9 GB	87.1 MB	5.2 KB
7	11/aae486	2753055	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:MAKE_MODELS (Make model channel)	COMPLETED	0	2025-05-12 16:43:23.089	34.7s	6.2s	100.0%	694.4 MB	3.9 GB	87.1 MB	33.9 KB
11	d1/ea5fbc	2753057	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:TRAIN_AND_PREDICT_CV (SingleDrugProteomicsElasticNet.10029385_LPO_gpu:false)	FAILED	1	2025-05-12 16:43:57.959	34.8s	30s	-	-	-	-	-
14	ac/f825ec	2753059	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:TRAIN_AND_PREDICT_CV (SingleDrugProteomicsElasticNet.10029385_LPO_gpu:false)	FAILED	1	2025-05-12 16:43:58.177	34.7s	30.1s	-	-	-	-	-
27	e2/1f7776	2753058	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:TRAIN_AND_PREDICT_CV (SingleDrugProteomicsElasticNet.10029385_LPO_gpu:false)	FAILED	1	2025-05-12 16:43:58.131	34.7s	30.1s	-	-	-	-	-
