task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	dd/13dc40	2753167	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:PARAMS_CHECK	COMPLETED	0	2025-05-12 17:02:32.563	33.8s	7.2s	93.5%	685.7 MB	3.9 GB	86.8 MB	5.1 KB
3	1b/dacbf0	2753169	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:HPAM_SPLIT (NaiveMeanEffectsPredictor)	COMPLETED	0	2025-05-12 17:02:32.641	33.8s	6.6s	83.1%	697.7 MB	3.9 GB	86.7 MB	5.1 KB
2	a8/b14c75	2753168	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:HPAM_SPLIT (SingleDrugProteomicsElasticNet)	COMPLETED	0	2025-05-12 17:02:32.606	33.8s	7.4s	92.3%	684.5 MB	3.9 GB	86.7 MB	5.7 KB
4	7c/92681a	2753170	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:LOAD_RESPONSE (mPDAC_cd (cross: ))	COMPLETED	0	2025-05-12 17:03:06.541	4.9s	1.4s	107.9%	47.5 MB	147.4 MB	32.9 MB	510.9 KB
7	17/055113	2753173	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:CV_SPLIT (LPO)	COMPLETED	0	2025-05-12 17:03:11.764	4.6s	1.5s	103.5%	172.5 MB	405.4 MB	32.6 MB	6.3 MB
5	76/711f21	2753172	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:MAKE_MODELS (Make model channel)	COMPLETED	0	2025-05-12 17:03:11.732	34.7s	6.3s	99.5%	686.3 MB	3.9 GB	87.1 MB	33.9 KB
6	9b/66e1b8	2753171	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:MAKE_BASELINES (Make model channel)	COMPLETED	0	2025-05-12 17:03:11.698	34.7s	6.3s	98.6%	691.5 MB	3.9 GB	87.1 MB	5.2 KB
22	f4/becbc2	2753174	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:TRAIN_AND_PREDICT_CV (SingleDrugProteomicsElasticNet.10029385_LPO_gpu:false)	FAILED	1	2025-05-12 17:03:46.544	34.9s	30s	-	-	-	-	-
14	46/eef5d3	2753176	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:TRAIN_AND_PREDICT_CV (SingleDrugProteomicsElasticNet.10029385_LPO_gpu:false)	FAILED	1	2025-05-12 17:03:46.644	34.8s	30.1s	-	-	-	-	-
8	c9/6918c7	2753175	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:TRAIN_AND_PREDICT_CV (SingleDrugProteomicsElasticNet.10029385_LPO_gpu:false)	FAILED	1	2025-05-12 17:03:46.597	34.9s	30.1s	-	-	-	-	-
