task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	7b/db84f4	2849656	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:PARAMS_CHECK	COMPLETED	0	2025-05-14 09:05:32.280	33.7s	16.8s	46.6%	693.3 MB	3.9 GB	86.2 MB	5.1 KB
3	99/a85738	2849657	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:HPAM_SPLIT (NaiveMeanEffectsPredictor)	COMPLETED	0	2025-05-14 09:05:32.319	33.6s	16.8s	47.2%	702.6 MB	3.9 GB	86.1 MB	5.1 KB
2	a7/d726f3	2849655	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:HPAM_SPLIT (SingleDrugProteomicsElasticNet)	COMPLETED	0	2025-05-14 09:05:32.198	33.7s	16.9s	46.9%	702.7 MB	3.9 GB	86.1 MB	5.7 KB
4	d4/c43886	2849658	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:LOAD_RESPONSE (mPDAC_cd (cross: ))	COMPLETED	0	2025-05-14 09:06:06.086	34.9s	1.9s	101.4%	134.1 MB	370.1 MB	32.8 MB	510.9 KB
7	58/c85384	2849660	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:MAKE_BASELINES (Make model channel)	COMPLETED	0	2025-05-14 09:06:41.268	34.7s	7.8s	94.4%	683.3 MB	3.9 GB	86.5 MB	5.2 KB
6	37/d3e03a	2849659	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:MAKE_MODELS (Make model channel)	COMPLETED	0	2025-05-14 09:06:41.236	34.7s	7.8s	94.4%	682.6 MB	3.9 GB	86.5 MB	34 KB
5	fb/9e2071	2849661	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:CV_SPLIT (LCO)	COMPLETED	0	2025-05-14 09:06:41.300	34.7s	2.4s	97.6%	137.2 MB	374.4 MB	32.5 MB	6.9 MB
14	d9/5dda8f	2849666	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:TRAIN_AND_PREDICT_CV (SingleDrugProteomicsElasticNet.10029385_LCO_gpu:false)	FAILED	1	2025-05-14 09:07:19.510	26.5s	3ms	-	-	-	-	-
23	a7/d08234	2849663	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:TRAIN_AND_PREDICT_CV (SingleDrugProteomicsElasticNet.10029385_LCO_gpu:false)	FAILED	1	2025-05-14 09:07:18.146	27.8s	3ms	-	-	-	-	-
26	08/c56ea8	2849665	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:TRAIN_AND_PREDICT_CV (SingleDrugProteomicsElasticNet.10029385_LCO_gpu:false)	FAILED	1	2025-05-14 09:07:19.454	26.6s	2ms	-	-	-	-	-
22	c9/d91336	2849664	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:TRAIN_AND_PREDICT_CV (SingleDrugProteomicsElasticNet.10029385_LCO_gpu:false)	FAILED	1	2025-05-14 09:07:18.568	27.4s	2ms	-	-	-	-	-
15	6c/fafffb	2849667	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:TRAIN_AND_PREDICT_CV (SingleDrugProteomicsElasticNet.10029385_LCO_gpu:false)	FAILED	1	2025-05-14 09:07:19.553	26.5s	2ms	-	-	-	-	-
12	99/c90d7b	2849668	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:TRAIN_AND_PREDICT_CV (SingleDrugProteomicsElasticNet.10029385_LCO_gpu:false)	FAILED	1	2025-05-14 09:07:20.022	26.1s	2ms	-	-	-	-	-
28	bb/a0d880	2849669	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:TRAIN_AND_PREDICT_CV (SingleDrugProteomicsElasticNet.10029385_LCO_gpu:false)	FAILED	1	2025-05-14 09:07:20.074	26.1s	2ms	-	-	-	-	-
11	09/1bb089	2849670	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:TRAIN_AND_PREDICT_CV (SingleDrugProteomicsElasticNet.10029385_LCO_gpu:false)	FAILED	1	2025-05-14 09:07:20.130	26s	2ms	-	-	-	-	-
10	e2/1e2752	2849671	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:TRAIN_AND_PREDICT_CV (SingleDrugProteomicsElasticNet.10029385_LCO_gpu:false)	FAILED	1	2025-05-14 09:07:20.168	26s	2ms	-	-	-	-	-
36	60/09ca2b	2849672	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:TRAIN_AND_PREDICT_CV (SingleDrugProteomicsElasticNet.10029385_LCO_gpu:false)	FAILED	1	2025-05-14 09:07:20.282	25.9s	2ms	-	-	-	-	-
21	e4/eee6a1	2849673	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:TRAIN_AND_PREDICT_CV (SingleDrugProteomicsElasticNet.10029385_LCO_gpu:false)	FAILED	1	2025-05-14 09:07:20.318	25.8s	4ms	-	-	-	-	-
13	23/373e5f	2849674	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:TRAIN_AND_PREDICT_CV (SingleDrugProteomicsElasticNet.10029385_LCO_gpu:false)	FAILED	1	2025-05-14 09:07:20.373	25.8s	2ms	-	-	-	-	-
25	56/6e9eeb	2849675	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:TRAIN_AND_PREDICT_CV (SingleDrugProteomicsElasticNet.10029385_LCO_gpu:false)	FAILED	1	2025-05-14 09:07:20.413	25.7s	2ms	-	-	-	-	-
